model_name,split,MAE,RMSE,R2,MBE,underestimation_rate,overestimation_rate,peak_MAE,high_peak_MAE,peak_RMSE,high_peak_RMSE,peak_underestimation_rate,high_peak_underestimation_rate,peak_bias,high_peak_bias,peak_overestimation_rate,high_peak_overestimation_rate,top_10_percent_actual_peak_MAE,top_5_percent_actual_peak_MAE,actual_max_load_kw,predicted_load_at_actual_max_kw,actual_max_underprediction_kw,row_count,peak_row_count,high_peak_row_count
LGBMRegressor,test,4.350389334647338,10.704025970184436,0.5389432209018191,0.5320169039364695,21.508672851956433,53.17466720451796,18.99360763155563,28.49123363709004,30.341983475194798,41.53835346454943,85.47904191616766,93.97163120567376,-16.422993410896414,-25.753552743464418,14.520958083832337,6.028368794326241,18.592244418089937,24.679452798784357,233.57571077080087,3.473298937219176,230.1024118335817,12395,668,282
CatBoostRegressor,test,4.361671087593999,10.410988730863577,0.5638417852356458,0.3898558367306096,21.242436466317063,53.005244050020174,18.99851858359233,28.039203461580765,30.117298561235625,41.25438557257017,83.98203592814372,90.42553191489363,-17.017048323500504,-26.49780187823812,16.017964071856287,9.574468085106384,18.584025905172616,24.698561836174495,233.57571077080087,2.640207899583596,230.93550287121727,12395,668,282
E-AHPA,test,4.190880521792335,9.906087629784164,0.6051206394944271,0.46952607047462547,18.90278338039532,53.11012505042356,18.89118610593241,28.002605953425476,30.021054529306557,41.21324157857975,86.07784431137725,95.74468085106383,-17.670401528593928,-27.63795699793416,13.922155688622754,4.25531914893617,18.000772757580506,24.567771005581363,233.57571077080087,6.689726928337221,226.88598384246365,12395,668,282
PRC-E-AHPA,test,4.217946575932211,9.939809190021643,0.6024276262249919,0.5787060726842206,18.54780153287616,53.46510689794272,18.54858795699009,27.22681556954333,29.629616464296042,40.55329798736376,81.437125748503,87.2340425531915,-16.731180722588455,-26.228041417221846,18.562874251497004,12.76595744680851,17.913215715401314,24.14470944645837,233.57571077080087,6.689726928337221,226.88598384246365,12395,668,282
PS-EAHPA,test,4.177557902613845,10.130722412997418,0.587008669523623,0.3192524453880253,21.105284388866476,78.89471561113352,19.30752992291508,28.636999689098715,30.396655943916294,41.504397240467185,85.92814371257485,90.0709219858156,-16.974436831236503,-26.41062232591844,14.071856287425149,9.929078014184398,18.303222534496115,25.197983098018717,233.57571077080087,4.812629142473819,228.76308162832706,12395,668,282
