model_name,split,MAE,RMSE,R2,MBE,underestimation_rate,overestimation_rate,peak_MAE,high_peak_MAE,peak_RMSE,high_peak_RMSE,peak_underestimation_rate,high_peak_underestimation_rate,peak_bias,high_peak_bias,peak_overestimation_rate,high_peak_overestimation_rate,top_10_percent_actual_peak_MAE,top_5_percent_actual_peak_MAE,actual_max_load_kw,predicted_load_at_actual_max_kw,actual_max_underprediction_kw,row_count,peak_row_count,high_peak_row_count,site_id
LGBMRegressor,validation,5.855629089980915,9.661597077370063,0.9401064135617768,0.7882606995982299,29.372937293729372,44.38943894389439,11.018387105867307,11.614535205850892,14.1967954926853,14.792912569244328,65.26315789473685,85.45454545454545,-4.771548347584065,-10.422562347555107,34.73684210526316,14.545454545454545,11.123385034956419,12.901273694916851,151.48691192258457,114.07102619858884,37.41588572399573,606,95,55,Arroyo_Garage_01
LGBMRegressor,validation,0.8037913767417495,2.5707575503718663,0.830701901701931,0.2213354102804836,7.728753331359195,41.48652650281315,15.050994549622276,15.91722922757608,21.743455638108962,20.668145279492638,71.42857142857143,100.0,-12.487644672706454,-15.91722922757608,28.57142857142857,0.0,4.517889114797442,6.866432635888518,76.41678347251602,43.00602575658612,33.4107577159299,3377,14,3,California_Garage_01
LGBMRegressor,validation,4.079276512754641,6.827941255061082,0.5591955119319416,0.26072875351884284,25.630410237109523,61.68611215656755,21.915904359101287,27.04625369891498,24.419719754350634,28.07135780648743,92.5925925925926,100.0,-20.56026344631993,-27.04625369891498,7.4074074074074066,0.0,12.378349402011784,15.218195997886626,82.98885018964796,59.76420565934564,23.22464453030232,2657,27,3,California_Garage_02
LGBMRegressor,validation,21.151221432318298,68.6869742736591,0.08537342157164585,-3.599670868074445,37.74583963691377,62.25416036308623,40.45801672929153,58.40109774420336,121.8935411710438,162.14342665801576,82.25,90.5829596412556,-35.88102027287015,-55.67731301439958,17.75,9.417040358744394,83.02454486031067,130.30737055979603,1606.9177187074972,55.16090859868493,1551.7568101088123,1322,400,223,N_Wilson_Garage_01
LGBMRegressor,validation,0.3460347572881829,0.9166061596112481,0.7248381033077107,0.11725906758153967,8.63697705802969,38.19163292847503,3.289169174271651,,3.6852063459411255,,87.5,,-3.12925619012429,,12.5,,1.4367769655541789,2.000298574392844,12.575091789876833,9.357967706004455,3.2171240838723776,2223,24,0,Parking_Lot_01
LGBMRegressor,validation,1.056176943094296,1.9480154893836807,0.708509346242429,0.22485833740658714,16.57608695652174,46.42210144927536,3.7131464858887346,5.111413567864572,4.644830971447554,5.928035194717041,89.14728682170544,95.0,-3.342586843742438,-4.962888887417219,10.852713178294573,5.0,3.1023779794560196,3.937500748967321,21.08775397980203,11.886220608743145,9.201533371058886,2208,129,40,S_Wilson_Garage_01
E-AHPA,validation,5.493144139591015,9.111089801000425,0.9467373058856757,1.0124151138104336,25.90759075907591,74.0924092409241,9.936044006521865,11.123158077058521,13.16959951509678,14.18033201768735,62.10526315789474,80.0,-4.832457817293079,-9.415258580537815,37.89473684210527,20.0,10.554940204866122,12.290639315221153,151.48691192258457,116.55315548311168,34.93375643947289,606,95,55,Arroyo_Garage_01
E-AHPA,validation,0.7745477921704457,2.5593323278368354,0.8322033814592221,0.24037329309612393,7.521468759253776,29.01984009475866,15.19294927531601,14.406459934789398,22.097007467274747,18.53267114522495,85.71428571428571,100.0,-14.077546944888732,-14.406459934789398,14.285714285714285,0.0,4.249922626367477,6.43127786128402,76.41678347251602,46.92199775363399,29.494785718882028,3377,14,3,California_Garage_01
E-AHPA,validation,3.9289938626251537,6.589045984156939,0.5895015395823069,0.14371513986462633,24.72713586751976,63.34211516748213,23.689845865300008,31.29888440776954,25.626097393040567,31.476364572984764,96.29629629629629,100.0,-23.46790249197081,-31.29888440776954,3.7037037037037033,0.0,12.238732731205593,15.764269204845537,82.98885018964796,50.72110872649633,32.26774146315163,2657,27,3,California_Garage_02
E-AHPA,validation,20.732637897805137,68.20286279998672,0.09822071455790204,-3.5786181252118077,35.854765506807865,64.14523449319213,39.358330320957975,57.36289036484282,121.20294585023511,161.36390686315147,86.0,94.17040358744396,-36.54438715210409,-56.52823959079742,14.000000000000002,5.829596412556054,83.20963221269382,130.6886560249378,1606.9177187074972,62.56461463851285,1544.3531040689843,1322,400,223,N_Wilson_Garage_01
