model_name,split,MAE,RMSE,R2,MBE,underestimation_rate,overestimation_rate,peak_MAE,high_peak_MAE,peak_RMSE,high_peak_RMSE,peak_underestimation_rate,high_peak_underestimation_rate,peak_bias,high_peak_bias,peak_overestimation_rate,high_peak_overestimation_rate,top_10_percent_actual_peak_MAE,top_5_percent_actual_peak_MAE,actual_max_load_kw,predicted_load_at_actual_max_kw,actual_max_underprediction_kw,row_count,peak_row_count,high_peak_row_count,base_model,peak_model,gate,threshold,alpha,candidate_name,strategy,score,delta_MAE_vs_base_EAHPA,delta_peak_MAE_vs_base_EAHPA,delta_high_peak_MAE_vs_base_EAHPA,acceptable,scale,max_alpha,top_percent,risk_threshold_from_validation,features,meta_model,selection_role,selection_rule_used
extratrees_meta,validation,3.487552627166709,19.255847037442905,0.5197496719649549,-8.944135139076546e-17,17.67933510852901,82.320664891471,23.29255628797108,37.34237110922048,77.38102525844815,111.49674585074189,82.29317851959361,87.65432098765432,-17.961467842277617,-31.36210202497374,17.706821480406386,12.345679012345679,18.482794487344044,26.428197355123427,1606.9177187074972,332.4327774299811,1274.484941277516,12393,689,324,,,,,,extratrees_meta,validation_meta_model,16.615519215209435,-0.27758936099599163,-2.919336400530028,-5.079159828294074,True,,,,,"['eahpa_pred', 'lgbm_pred', 'catboost_pred', 'prc_pred', 'prediction_ExtraTrees_weighted', 'prediction_GBR_weighted', 'prediction_LGBM_weighted', 'risk_eahpa_vs_p90', 'risk_eahpa_vs_p95', 'risk_lgbm_vs_p90', 'risk_lag24_vs_p90', 'risk_lag168_vs_p90', 'risk_rollmax24_vs_p90', 'risk_rollmax168_vs_p90', 'risk_rollq90_24_vs_p90']",extratrees_meta,primary_selected,lowest score among validation-acceptable candidates
extratrees_meta,validation,3.487552627166709,19.255847037442905,0.5197496719649549,-8.944135139076546e-17,17.67933510852901,82.320664891471,23.29255628797108,37.34237110922048,77.38102525844815,111.49674585074189,82.29317851959361,87.65432098765432,-17.961467842277617,-31.36210202497374,17.706821480406386,12.345679012345679,18.482794487344044,26.428197355123427,1606.9177187074972,332.4327774299811,1274.484941277516,12393,689,324,,,,,,extratrees_meta,validation_meta_model,16.615519215209435,-0.27758936099599163,-2.919336400530028,-5.079159828294074,True,,,,,"['eahpa_pred', 'lgbm_pred', 'catboost_pred', 'prc_pred', 'prediction_ExtraTrees_weighted', 'prediction_GBR_weighted', 'prediction_LGBM_weighted', 'risk_eahpa_vs_p90', 'risk_eahpa_vs_p95', 'risk_lgbm_vs_p90', 'risk_lag24_vs_p90', 'risk_lag168_vs_p90', 'risk_rollmax24_vs_p90', 'risk_rollmax168_vs_p90', 'risk_rollq90_24_vs_p90']",extratrees_meta,best_validation_MAE,lowest score among validation-acceptable candidates
switch_LGBM_ExtraTrees_peak_subset_2x_risk_eahpa_vs_p90_t0.6,validation,4.543720544653807,22.93602368153486,0.3186368027783627,1.749668759962723,11.667877027354152,54.377471153070275,21.681930355499816,34.62396955776687,90.0616593236097,130.42906135232244,64.15094339622641,80.24691358024691,-13.831156498672517,-30.607217828673107,35.84905660377358,19.753086419753085,19.906864916279382,25.205098926647707,1606.9177187074972,71.7631837258605,1535.1545349816367,12393,689,324,LGBM,ExtraTrees_peak_subset_2x,risk_eahpa_vs_p90,0.6,,switch_LGBM_ExtraTrees_peak_subset_2x_risk_eahpa_vs_p90_t0.6,hard_switch,16.65682977992896,0.7785785564911061,-4.5299623330012935,-7.797561379747684,False,,,,,,,best_validation_peak_MAE,lowest score among validation-acceptable candidates
switch_LGBM_ExtraTrees_peak_subset_2x_risk_combined_mean_t0.3,validation,4.543160583265569,22.936562660287528,0.31860477938963727,1.7386511570553165,11.667877027354152,51.67433228435407,21.682241681672142,34.62396955776687,90.061699273368,130.42906135232244,64.15094339622641,80.24691358024691,-13.831467824844845,-30.607217828673107,35.84905660377358,19.753086419753085,19.902311898301452,25.205098926647707,1606.9177187074972,71.7631837258605,1535.1545349816367,12393,689,324,LGBM,ExtraTrees_peak_subset_2x,risk_combined_mean,0.3,,switch_LGBM_ExtraTrees_peak_subset_2x_risk_combined_mean_t0.3,hard_switch,16.656372556177587,0.7780185951028677,-4.529651006828967,-7.797561379747684,False,,,,,,,best_validation_high_peak_MAE,lowest score among validation-acceptable candidates
switch_E_AHPA_ExtraTrees_peak_subset_2x_gate_rf_peak_t0.4,validation,4.185318264938831,22.814277349947137,0.32585107050954654,1.0871133589178599,14.39522310982006,46.09053497942387,22.10934450693264,34.69953193668477,90.24611712264989,130.56594362685024,64.4412191582003,80.24691358024691,-14.275015218341888,-30.68278020759101,35.55878084179971,19.753086419753085,20.272062256402403,25.76691447418308,1606.9177187074972,71.7631837258605,1535.1545349816367,12393,689,324,E_AHPA,ExtraTrees_peak_subset_2x,gate_rf_peak,0.4,,switch_E_AHPA_ExtraTrees_peak_subset_2x_gate_rf_peak_t0.4,hard_switch,16.451301864071592,0.42017627677613056,-4.102548181568469,-7.721999000829783,False,,,,,,,best_validation_score,lowest score among validation-acceptable candidates
