model_name,split,MAE,RMSE,MAPE,sMAPE,R2,MBE,underestimation_rate,overestimation_rate,peak_MAE,high_peak_MAE,peak_RMSE,high_peak_RMSE,peak_underestimation_rate,high_peak_underestimation_rate,mean_actual_peak_load_kw,mean_predicted_peak_load_kw,peak_bias,high_peak_bias,top_10_percent_actual_peak_MAE,top_5_percent_actual_peak_MAE,top_10_percent_peak_underestimation_rate,top_5_percent_peak_underestimation_rate,maximum_actual_load_kw,predicted_load_at_actual_max_kw,actual_max_underprediction_kw
AHPA_switch_ExtraTrees_Retry_to_BPA_CatBoost_risk_rollq90_168_vs_site_p90_t1.00,validation,3.8467664282930687,22.7051790709778,51076.4693585057,105.85759529253751,0.3322832385562404,0.19801281032968374,16.025175502299685,40.53094488824336,24.662787615007485,39.36523031703956,92.15345819995811,133.34284529135752,76.77793904208998,86.11111111111111,66.51017800151733,45.92555602013235,-20.58462198138498,-37.65587643707502,20.07875639390583,28.26192555434418,63.467741935483865,69.35483870967742,1606.9177187074972,56.49256450610991,1550.4251542013874
AHPA_switch_ExtraTrees_Retry_to_BPA_CatBoost_risk_rollq90_168_vs_site_p90_t1.00,test,4.374543301791372,10.236150928905166,39930.47676159248,111.79890850306452,0.5783680962095215,0.9498375528509828,17.99919322307382,52.37595804759984,17.354391287034765,25.504183975242764,28.38156809679489,38.82058763903213,80.23952095808383,91.48936170212765,47.31936796835107,32.36681108040399,-14.952556887947079,-24.383107055943253,17.687411593784617,22.808841815786987,67.41935483870968,77.25806451612904,233.57571077080087,8.661303794756897,224.91440697604398
AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15,validation,3.7696461180208813,22.666958913760467,50114.63925382202,119.67660013322143,0.3345293129088984,-0.29865496649697987,17.719680464778502,48.156217219398044,26.587475438599952,42.63816946384898,92.87920872995126,134.24833961676345,83.59941944847606,90.74074074074075,66.51017800151733,42.59506631715902,-23.915111684358312,-41.50062311344732,20.732536483410975,30.167394970434348,67.74193548387096,75.32258064516128,1606.9177187074972,61.47729218765181,1545.4404265198455
AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15,test,4.210734308743049,9.965636018052834,36648.80882986971,116.55497219063156,0.6003588997613438,0.33109115398942834,21.315046389673256,52.82775312626059,18.920185660404265,27.690938684311142,29.95898570138139,40.96085770352874,84.13173652694611,92.90780141843972,47.31936796835107,30.02943120617489,-17.28993676217618,-27.10468057398596,18.344575491228756,24.66955455598635,71.29032258064515,80.64516129032258,233.57571077080087,4.096526410644276,229.47918436015658
AHPA_switch_LGBMRegressor_to_PA_CatBoost_risk_rollq90_168_vs_site_p90_t0.50,validation,4.054748330477951,22.76321035289771,42903.85560870628,120.54486848117423,0.32886569427321233,0.5939001212531245,15.532962156055838,50.576938594367796,23.40776825999598,37.47271888070212,91.56624293344944,132.57634979310407,71.11756168359942,83.33333333333334,66.51017800151733,48.2368146451237,-18.273363356393627,-35.36054786407538,20.034059534447245,27.04274076386153,58.387096774193544,64.03225806451613,1606.9177187074972,61.823481658058846,1545.0942370494383
AHPA_switch_LGBMRegressor_to_PA_CatBoost_risk_rollq90_168_vs_site_p90_t0.50,test,4.941614877540455,11.20796051711858,31162.761362198944,119.23943281173312,0.4945091618987817,1.7845914763343642,17.394110528438887,57.547398144413066,16.010348670103227,23.493998721521844,27.074528731479244,37.14223449355585,72.60479041916167,85.1063829787234,47.31936796835107,35.07177290538446,-12.247595062966612,-21.52168125813063,17.78612107067083,21.389045200994225,59.67741935483871,70.80645161290322,233.57571077080087,3.473298937219176,230.1024118335817
AHPA_switch_GradientBoostingRegressor_to_BPA_GradientBoosting_risk_rollq90_168_vs_site_p90_t0.50,validation,4.580744707621235,23.395852090723654,88390.7318580595,121.83063567481429,0.2910425843296115,1.3055871358365247,15.670136367304124,50.27838295812151,24.390498055598123,37.42666844092396,92.60080185792432,133.3071161071698,66.47314949201741,77.77777777777779,66.51017800151733,52.51569271646786,-13.99448528504946,-29.550305987677167,21.59724034852093,28.11052511776423,54.75806451612903,58.06451612903226,1606.9177187074972,56.24305786841518,1550.674660839082
AHPA_switch_GradientBoostingRegressor_to_BPA_GradientBoosting_risk_rollq90_168_vs_site_p90_t0.50,test,9.50205809570713,37.9724231317553,53827.37729993482,123.30735587784693,-4.8022538722966575,6.183698674454633,18.426784993949173,58.822105687777324,20.92231742389529,26.541676196062728,41.810925148290394,42.44418191184086,71.8562874251497,84.75177304964538,47.31936796835107,38.779506117513144,-8.539861850837925,-20.447998002852152,24.427935973270156,27.295842585877097,59.596774193548384,70.3225806451613,233.57571077080087,2.285941372774448,231.2897693980264
AHPA_switch_LGBMRegressor_to_PA_CatBoost_risk_combined_simple_t0.60,validation,4.02860519206699,22.758820445645227,50230.77203434122,120.68970418271508,0.32912452711972073,0.5432177289444236,16.13814249979827,50.05244896312434,23.496791942228576,37.50534840896654,91.57841192819897,132.58232816325653,71.40783744557329,83.0246913580247,66.51017800151733,48.15164956037828,-18.358528441139057,-35.39108144304916,20.05122222901228,27.102656029865248,58.70967741935483,64.19354838709678,1606.9177187074972,61.823481658058846,1545.0942370494383
AHPA_switch_LGBMRegressor_to_PA_CatBoost_risk_combined_simple_t0.60,test,4.63794330552899,10.868311082095653,38937.642133871086,118.68036311221756,0.5246820393424069,1.3451193847098895,19.298104074223478,55.933844292053244,16.30213195451346,23.708554993864645,27.392884462115695,37.42094600830846,73.35329341317365,85.46099290780141,47.31936796835107,34.808933468166984,-12.510434500184084,-21.618473921738527,17.89006496992957,21.774219400179827,61.532258064516135,71.29032258064515,233.57571077080087,3.473298937219176,230.1024118335817
