model_name,split,site_id,row_count,MAE,RMSE,normalized_MAE_by_site_train_mean,normalized_RMSE_by_site_train_mean,peak_MAE,high_peak_MAE,underestimation_rate,peak_underestimation_rate,high_peak_underestimation_rate,MBE,actual_max_load_kw,predicted_at_actual_max_kw,actual_max_underprediction_kw
AHPA_switch_ExtraTrees_Retry_to_BPA_CatBoost_risk_rollq90_168_vs_site_p90_t1.00,validation,Arroyo_Garage_01,606,5.64119881560082,9.507532206868811,0.24004729074044848,0.40456956446470177,9.83704910590306,10.105708252064217,27.557755775577558,60.0,78.18181818181819,1.131343852131835,151.48691192258457,112.28546894006486,39.20144298251971
AHPA_switch_ExtraTrees_Retry_to_BPA_CatBoost_risk_rollq90_168_vs_site_p90_t1.00,validation,California_Garage_01,3377,0.7432799733112964,2.5088967153415993,0.03868720622170074,0.13058633099309544,14.659752509753073,13.239617963847303,7.9952620669233045,85.71428571428571,100.0,0.21474720973541117,76.41678347251602,49.322493671724914,27.094289800791103
AHPA_switch_ExtraTrees_Retry_to_BPA_CatBoost_risk_rollq90_168_vs_site_p90_t1.00,validation,California_Garage_02,2657,3.944109792313195,6.617454589471365,0.2514636978303671,0.42190752512420526,22.901713392248947,29.191214494793147,25.02822732404968,96.29629629629629,100.0,0.20187449720307477,82.98885018964796,53.034485228928105,29.954364960719857
AHPA_switch_ExtraTrees_Retry_to_BPA_CatBoost_risk_rollq90_168_vs_site_p90_t1.00,validation,N_Wilson_Garage_01,1322,21.544214661089544,68.40919133567603,1.818113266598192,5.7730421034691215,36.806082201229266,53.21564365417338,32.90468986384266,75.75,86.09865470852019,-0.2861051697865376,1606.9177187074972,56.49256450610991,1550.4251542013874
AHPA_switch_ExtraTrees_Retry_to_BPA_CatBoost_risk_rollq90_168_vs_site_p90_t1.00,validation,Parking_Lot_01,2223,0.2684530585898588,0.8257549333023578,0.12017190619617929,0.3696457954589752,2.4164324236521257,,4.633378317588844,83.33333333333334,,0.14682074744166113,12.575091789876833,10.473788133863973,2.1013036560128597
AHPA_switch_ExtraTrees_Retry_to_BPA_CatBoost_risk_rollq90_168_vs_site_p90_t1.00,validation,S_Wilson_Garage_01,2208,0.9903218950760256,1.9367118737736135,0.3745250799259399,0.7324357594485938,3.5203949325019055,5.1034909150176135,15.670289855072465,86.04651162790698,95.0,0.2530095247164016,21.08775397980203,13.123700143681344,7.964053836120687
AHPA_switch_ExtraTrees_Retry_to_BPA_CatBoost_risk_rollq90_168_vs_site_p90_t1.00,test,Arroyo_Garage_01,606,4.922711510975836,8.656743604716983,0.20947383702177017,0.3683663556051594,13.103299003378051,18.92598638862387,21.45214521452145,83.72093023255815,100.0,1.0111493512725134,128.44555031546562,81.92907983482631,46.51647048063931
AHPA_switch_ExtraTrees_Retry_to_BPA_CatBoost_risk_rollq90_168_vs_site_p90_t1.00,test,California_Garage_01,3377,2.6412987975822513,7.975101382294374,0.13747776738819578,0.41509848629619206,76.08534553322166,108.22121234777684,10.245780278353568,100.0,100.0,0.47525446536027466,233.57571077080087,8.661303794756897,224.91440697604398
AHPA_switch_ExtraTrees_Retry_to_BPA_CatBoost_risk_rollq90_168_vs_site_p90_t1.00,test,California_Garage_02,2657,7.808021605398146,13.618668344719294,0.4978142316066906,0.8682822948191744,32.9088646419539,47.01875343443925,32.14151298456906,93.38235294117648,98.27586206896551,0.6612432072980341,206.32919292080408,39.76246315520662,166.56672976559747
AHPA_switch_ExtraTrees_Retry_to_BPA_CatBoost_risk_rollq90_168_vs_site_p90_t1.00,test,N_Wilson_Garage_01,1323,13.695737592828497,20.096596883220922,1.1557813828480394,1.6959490044837877,22.278864577480594,29.89425113125912,24.867724867724867,76.56903765690377,88.98305084745762,5.118550568773525,175.316543045655,17.936897488453212,157.3796455572018
