method_name,method_group,test_MAE,test_RMSE,test_peak_MAE,test_high_peak_MAE,test_peak_underestimation_rate,delta_MAE_vs_best_standard,delta_peak_MAE_vs_best_standard,pct_change_MAE_vs_best_standard,pct_change_peak_MAE_vs_best_standard
Linear_Regression_All_Features (best_MAE),Baseline,4.539697774021658,10.229552058162216,20.063715823615333,29.688048511937417,80.688622754491,0.18930843937431963,1.0701081920597026,4.351528675068936,5.634043899495136
Linear_Regression_All_Features (best_peak_MAE),Baseline,4.539697774021658,10.229552058162216,20.063715823615333,29.688048511937417,80.688622754491,0.18930843937431963,1.0701081920597026,4.351528675068936,5.634043899495136
LGBMRegressor (best_MAE),Standard ML,4.350389334647338,10.704025970184436,18.99360763155563,28.491233637090044,85.47904191616766,0.0,0.0,0.0,0.0
LGBMRegressor (best_peak_MAE),Standard ML,4.350389334647338,10.704025970184436,18.99360763155563,28.491233637090044,85.47904191616766,0.0,0.0,0.0,0.0
PA_LGBM (best_MAE),Old PA,5.207982264754827,12.059248892394764,16.534970603471624,24.352712558931145,71.10778443113772,0.8575929301074892,-2.4586370280840057,19.713015643851783,-12.944549954792535
PA_CatBoost (best_peak_MAE),Old PA,5.2400091604232,11.413739959839004,15.798142558541318,23.25341830394262,72.60479041916167,0.8896198257758616,-3.1954650730143115,20.44920022883373,-16.823897465931772
BPA_LGBM (best_MAE),BPA,4.623010026120029,10.995531273885163,18.12277136602524,27.237666426236057,80.688622754491,0.2726206914726905,-0.8708362655303894,6.266581459766988,-4.584891308819069
BPA_CatBoost (best_peak_MAE),BPA,5.102286825617008,11.33403989556203,16.513746113797904,24.6686889816197,77.9940119760479,0.7518974909696698,-2.479861517757726,17.283452885042113,-13.056295390864713
AHPA_switch_ExtraTrees_Retry_to_BPA_CatBoost_risk_rollq90_168_vs_site_p90_t1.00,AHPA-Ensemble,4.374543301791372,10.236150928905166,17.354391287034765,25.504183975242764,80.23952095808383,0.024153967144034283,-1.6392163445208645,0.5552139196293867,-8.630358046343447
