model_name,split,MAE,RMSE,MAPE,sMAPE,R2,MBE,underestimation_rate,overestimation_rate,peak_MAE,high_peak_MAE,peak_RMSE,high_peak_RMSE,peak_underestimation_rate,high_peak_underestimation_rate,mean_actual_peak_load_kw,mean_predicted_peak_load_kw,method_group,peak_bias,high_peak_bias
Linear_Regression_All_Features,test,4.539697774021658,10.229552058162216,60826.55701593268,113.81053975688008,0.5789115422044062,0.4421011577551797,18.53166599435256,48.31787010891488,20.063715823615333,29.688048511937417,31.239841989806877,42.77630147591446,80.688622754491,90.42553191489364,47.31936796835107,28.61332070626885,baseline,,
Ridge_Regression_All_Features,test,4.545313913584883,10.231701948681003,60030.31830852144,113.4887525574709,0.5787345277646228,0.4577821266685597,18.329971762807585,48.49536103267447,20.08512657268504,29.716221379943303,31.24978738027599,42.77936060835495,80.688622754491,90.42553191489364,47.31936796835107,28.572774025266995,baseline,,
Persistence_1h,test,4.546740155375777,12.102251914344793,24294.09895950056,88.01010958731898,0.4106239534310901,0.0060435185521016,22.670431625655507,26.954417103670835,20.52548876746405,27.39212994889984,32.23553931366677,41.69211650622128,73.20359281437125,74.46808510638297,47.31936796835107,32.67763523941074,baseline,,
Average_24h_168h,test,6.088498258365677,13.23435833277554,29682.466366291705,129.65922241681605,0.2952000208085377,0.1352495931475049,27.10770471964502,37.86204114562324,24.777284393328227,35.24485938402045,36.01591848815752,48.025803105063005,87.42514970059881,93.26241134751773,47.31936796835107,25.13251999006635,baseline,,
Persistence_168h,test,6.673073696165008,15.27265031827442,27570.306214409036,129.79419429663076,0.0613819094860494,0.2719587973138621,27.696651875756352,28.72125857200484,26.474265215153423,36.89056578180815,38.35908011062193,50.41039417285964,80.688622754491,87.94326241134752,47.31936796835107,26.978569969122454,baseline,,
Persistence_24h,test,6.985531509149543,15.765105152746782,31826.77669266624,137.81872695249467,-0.0001239959717325,-0.0014596110188522,28.624445340863254,29.18918918918919,28.009121581892774,37.36786749120833,39.96307198089545,50.940258009266586,86.97604790419162,91.84397163120568,47.31936796835107,23.28647001101025,baseline,,
Zero_Load,test,7.08714800025466,17.283963471890466,100.0,200.0,-0.2021171232011771,-7.08714800025466,43.86446147640177,0.0,47.31936796835107,61.81009249675185,57.81707252423094,72.58416616020584,100.0,100.0,47.31936796835107,0.0,baseline,,
Site_Train_Mean,test,12.042741592963226,16.95896518093556,180169.80765294487,151.36377372461004,-0.1573342367883572,4.795085774725098,23.057684550221865,76.94231544977814,37.21845086841204,51.34621686090234,46.76117426140701,61.2651520935412,100.0,100.0,47.31936796835107,10.100917099939032,baseline,,
Global_Train_Mean,test,12.260060298222813,16.470724672672826,245944.058549332,149.82976222675225,-0.091655277853174,4.77253022231008,16.45824929407019,83.5417507059298,36.00664056848998,49.95041427418712,48.59095478806107,62.79345132160095,85.32934131736528,100.0,47.31936796835107,11.85967822256474,baseline,,
Persistence_1h,validation,4.470529299172231,29.662463506168397,14997.325903332136,86.76038202972384,-0.1396115685451866,0.013119033857195,19.6239812797547,23.14209634471073,31.802488130856844,47.93956265998431,99.79420809128104,143.15839772805907,69.23076923076923,77.77777777777779,66.51017800151733,49.03690819182396,baseline,,
Linear_Regression_All_Features,validation,4.5990339330316425,23.667345288814797,44289.92736292815,120.9036809509106,0.2744931635718922,0.5447232122941637,15.218268377309773,46.695715323166304,27.725091962843447,45.13150374830797,92.4888824525967,133.6750846893074,81.71262699564586,92.5925925925926,66.51017800151733,42.93674126949378,baseline,,
Ridge_Regression_All_Features,validation,4.601438327547158,23.668706429294208,43659.85198635268,121.30104109256796,0.2744097114476426,0.5478587280696052,15.177923021060275,47.06689260066167,27.7341139793364,45.1417108243237,92.48916696377869,133.6747198862634,81.8577648766328,92.5925925925926,66.51017800151733,42.922286145539445,baseline,,
Average_24h_168h,validation,6.093699863469982,29.128644844690417,72237.31357630328,135.1199760909311,-0.0989627605046357,0.1624474652902956,23.682724118453965,34.358105382070526,32.81942222796395,49.68114085278314,97.40016056673868,139.88110570069625,82.72859216255442,89.50617283950618,66.51017800151733,39.42861151309396,baseline,,
Persistence_168h,validation,6.750862030183337,33.35085712793615,63002.153003470536,140.46785257917566,-0.4406431389015974,0.215647316905716,25.070604373436616,26.159928992173,36.6829768923144,52.915491598212434,98.7555315511175,140.4554519152948,78.3744557329463,83.33333333333334,66.51017800151733,40.294917488419,baseline,,
Persistence_24h,validation,6.827572914904526,33.79569625539724,81506.36839701106,137.5429576503616,-0.4793305012378281,0.1092476136748751,24.538045670943276,25.353021867183088,36.96384529154291,53.97886035964307,100.06951691886336,142.60368804496997,78.80986937590711,87.03703703703704,66.51017800151733,38.5623055377689,baseline,,
Zero_Load,validation,7.221255739511531,28.709199690544683,100.0,200.0,-0.0675410591670884,-7.221255739511531,37.892358589526346,0.0,66.51017800151733,93.69204043860633,115.18046480236552,159.5907720441783,100.0,100.0,66.51017800151733,0.0,baseline,,
Site_Train_Mean,validation,12.98667127177768,28.420619113301736,124470.67277064583,158.21911571353436,-0.0461873973783777,4.661726078360015,18.792866941015088,81.20713305898491,54.81262028813862,80.8973571863563,107.44017258183436,151.70626869502365,100.0,100.0,66.51017800151733,11.697557713378702,baseline,,
Global_Train_Mean,validation,13.297524916055648,28.170668709624845,489504.8605370059,157.87543867691969,-0.0278665382657496,4.638422483053211,14.605018962317438,85.39498103768256,54.90381422656759,81.83236221604157,108.7640235573544,152.92989108073297,91.43686502177069,100.0,66.51017800151733,11.85967822256474,baseline,,
LGBMRegressor,test,4.350389334647338,10.704025970184436,33755.54863155595,117.48124522571047,0.5389432209018191,0.5320169039364693,21.508672851956433,53.17466720451796,18.99360763155563,28.491233637090044,30.341983475194798,41.53835346454943,85.47904191616766,93.97163120567376,47.31936796835107,30.896374557454653,standard_ml,-16.422993410896414,-25.753552743464418
CatBoostRegressor,test,4.361671087594,10.410988730863577,42459.88076241531,117.5481216768475,0.5638417852356458,0.3898558367306096,21.242436466317063,53.005244050020174,18.99851858359233,28.039203461580772,30.117298561235625,41.25438557257017,83.98203592814372,90.42553191489363,47.31936796835107,30.302319644850563,standard_ml,-17.017048323500504,-26.49780187823812
XGBRegressor,test,4.4386948173297665,10.632458731248175,32786.76879530938,116.31649608768318,0.5450878720966527,0.5277771234381591,21.8233158531666,51.52884227511093,19.07228042414284,28.29891276424008,30.325787419923312,41.63817831584249,84.28143712574851,92.5531914893617,47.31936796835107,30.66935951124408,standard_ml,-16.650008457106985,-25.749614320120873
GradientBoostingRegressor,test,4.454217234163049,10.44925458437387,42857.99563808431,118.57507665515456,0.5606296717691244,0.3554684914554557,22.025010084711578,52.81968535699879,19.635437203668673,28.77490698168678,30.771269085499526,41.96249978027662,86.67664670658682,94.68085106382979,47.31936796835107,29.52051724394733,standard_ml,-17.79885072440374,-27.50263603190488
CatBoostRegressor,validation,3.86982794632989,22.735020659179217,61668.61286278767,119.24711597160457,0.33052691478221397,-0.19482680440832292,18.123134027273462,46.96199467441298,26.277281137417454,41.786362801994265,92.92878374976598,134.31090897013254,80.84179970972424,89.19753086419753,66.51017800151733,43.535803198025896,standard_ml,-22.97437480349144,-40.413995324515845
LGBMRegressor,validation,3.8864472760028264,22.813605517343092,48272.205749258595,120.33579840949764,0.32589077446818293,-0.16813675532910707,17.56636811103042,48.462841926894214,26.981615043579996,43.19626921226297,93.22624097838406,134.71353120678643,81.56748911465893,90.4320987654321,66.51017800151733,43.22722416691235,standard_ml,-23.28295383460498,-41.10088807284814
XGBRegressor,validation,3.9303946200608593,22.798471124572366,59655.40682970972,117.48211175798514,0.32678487686993685,-0.13713170288967907,17.994028887275075,45.69515048817881,26.685413692424262,42.62652653742966,93.08574396826,134.52560795039884,80.84179970972424,90.12345679012346,66.51017800151733,43.338048312418344,standard_ml,-23.172129689098984,-40.68807701009135
GradientBoostingRegressor,validation,4.072964479572466,23.082193089560025,78054.3516455685,120.31392842804154,0.30992458567876646,-0.03989358510338974,18.179617526022753,47.074961671911566,27.836094496058703,43.91807347109161,94.15596922816789,135.60001991467675,80.40638606676342,90.4320987654321,66.51017800151733,44.38363927502588,standard_ml,-22.126538726491457,-39.05592256178021
