site_id,split,row_count,start_time,end_time,mean_target_load_kw,median_target_load_kw,max_target_load_kw,peak_threshold_90_train_kw,peak_threshold_95_train_kw,peak_hour_count,high_peak_hour_count,mean_peak_sample_weight
Arroyo_Garage_01,test,606,2020-11-08 00:00:00+00:00,2020-12-03 05:00:00+00:00,20.665319051032355,1.6474464579901154e-06,128.44555031546562,86.12002657275598,102.24076913911738,43,15,1.0957095709570956
Arroyo_Garage_01,train,2490,2020-07-02 00:00:00+00:00,2020-10-13 17:00:00+00:00,23.500364441523214,0.0,177.4121786309578,86.12002657275598,102.24076913911738,278,142,1.1686746987951808
Arroyo_Garage_01,validation,606,2020-10-13 18:00:00+00:00,2020-11-07 23:00:00+00:00,29.62089738203996,6.7226142756824,151.48691192258457,86.12002657275598,102.24076913911738,95,55,1.2475247524752475
California_Garage_01,test,3377,2020-07-15 11:00:00+00:00,2020-12-03 03:00:00+00:00,2.461507142372488,0.0,233.57571077080087,55.285921307508744,68.1786727906912,7,3,1.0029612081729347
California_Garage_01,train,15422,2018-05-24 04:00:00+00:00,2020-02-25 17:00:00+00:00,19.212552311269498,9.625395960651966,141.48913627863664,55.285921307508744,68.1786727906912,1540,774,1.1500453897030216
California_Garage_01,validation,3377,2020-02-25 18:00:00+00:00,2020-07-15 10:00:00+00:00,1.6989285703196737,0.0,76.41678347251602,55.285921307508744,68.1786727906912,14,3,1.0050340538939888
California_Garage_02,test,2657,2020-08-14 09:00:00+00:00,2020-12-03 01:00:00+00:00,12.307649905946185,5.822889579487179,206.32919292080408,44.88147381481568,60.20592996319798,136,58,1.073014678208506
California_Garage_02,train,12063,2018-12-10 01:00:00+00:00,2020-04-25 15:00:00+00:00,15.684609056269508,8.119345882352942,115.31865161965388,44.88147381481568,60.20592996319798,1238,620,1.1540247036392275
California_Garage_02,validation,2657,2020-04-25 16:00:00+00:00,2020-08-14 08:00:00+00:00,6.760769255215549,0.08173984,82.98885018964796,44.88147381481568,60.20592996319798,27,3,1.011290929619872
N_Wilson_Garage_01,test,1323,2020-10-11 00:00:00+00:00,2020-12-05 02:00:00+00:00,19.346626093070398,10.003832240437156,175.316543045655,40.446723225366185,55.76943149650522,239,118,1.2698412698412698
N_Wilson_Garage_01,train,5835,2019-12-17 19:00:00+00:00,2020-08-16 21:00:00+00:00,11.849764839679196,0.732171772428884,1511.9794104415716,40.446723225366185,55.76943149650522,618,309,1.1588688946015424
N_Wilson_Garage_01,validation,1322,2020-08-16 22:00:00+00:00,2020-10-10 23:00:00+00:00,31.708953568501656,16.456748279269306,1606.9177187074972,40.446723225366185,55.76943149650522,400,223,1.4712556732223903
Parking_Lot_01,test,2223,2020-08-31 10:00:00+00:00,2020-12-02 00:00:00+00:00,0.7740082932146968,0.0,11.143347336431464,8.542180199442097,13.047304317574152,13,0,1.0058479532163742
Parking_Lot_01,train,10035,2019-04-08 16:00:00+00:00,2020-05-30 18:00:00+00:00,2.2339086321191592,0.0,41.00999096223008,8.542180199442097,13.047304317574152,1019,510,1.152366716492277
Parking_Lot_01,validation,2223,2020-05-30 19:00:00+00:00,2020-08-31 09:00:00+00:00,0.600884868171459,0.0,12.575091789876833,8.542180199442097,13.047304317574152,24,0,1.0107962213225372
S_Wilson_Garage_01,test,2209,2020-09-01 23:00:00+00:00,2020-12-02 23:00:00+00:00,3.1651760712501584,0.0,21.33654974232288,9.402260843175755,12.789006887482804,230,88,1.1439565414214576
S_Wilson_Garage_01,train,9969,2019-04-13 14:00:00+00:00,2020-06-01 22:00:00+00:00,2.644207152353738,0.0,24.655110361327583,9.402260843175755,12.789006887482804,1004,506,1.1514695556224295
S_Wilson_Garage_01,validation,2208,2020-06-01 23:00:00+00:00,2020-09-01 22:00:00+00:00,2.077495105828168,0.0,21.08775397980203,9.402260843175755,12.789006887482804,129,40,1.0765398550724639
