site_id,original_rows,rows_after_feature_creation,rows_removed_due_to_missing_features,final_rows,train_rows,validation_rows,test_rows,start_time_final,end_time_final,number_of_modeling_features,peak_threshold_90_train_kw,peak_threshold_95_train_kw,train_mean_load_kw,train_std_load_kw,train_max_load_kw
Arroyo_Garage_01,4038,4038,336,3702,2490,606,606,2020-07-02 00:00:00+00:00,2020-12-03 05:00:00+00:00,114,86.12002657275598,102.24076913911738,22.734128197109623,36.19020640869254,177.4121786309578
California_Garage_01,22512,22512,336,22176,15422,3377,3377,2018-05-24 04:00:00+00:00,2020-12-03 03:00:00+00:00,114,55.285921307508744,68.1786727906912,19.40878441861254,23.207204999536675,141.48913627863664
California_Garage_02,17713,17713,336,17377,12063,2657,2657,2018-12-10 01:00:00+00:00,2020-12-03 01:00:00+00:00,114,44.88147381481568,60.20592996319798,15.38888707885459,19.7918004496287,115.31865161965388
N_Wilson_Garage_01,8816,8816,336,8480,5835,1322,1323,2019-12-17 19:00:00+00:00,2020-12-05 02:00:00+00:00,114,40.446723225366185,55.76943149650522,11.30609892140104,29.406163879019665,1511.9794104415716
Parking_Lot_01,14817,14817,336,14481,10035,2223,2223,2019-04-08 16:00:00+00:00,2020-12-02 00:00:00+00:00,114,8.542180199442097,13.047304317574152,2.2084479941360873,4.91867655984407,41.00999096223008
S_Wilson_Garage_01,14722,14722,336,14386,9969,2208,2209,2019-04-13 14:00:00+00:00,2020-12-02 23:00:00+00:00,114,9.402260843175755,12.789006887482804,2.6441060722015246,4.428177227542871,24.655110361327583
