Feature_group,gain,Gain_percentage
Lag-memory,200807084.76618123,88.95738977639044
Rolling-memory,14869268.851175904,6.587075084647427
Peak-risk,7091438.722082734,3.141502099939572
Calendar,2552386.5807831287,1.1307053642610938
EWM-memory,387309.79106235504,0.1715779504884721
Interaction,25447.290110111237,0.011273130665254767
Other,1075.8338708877563,0.0004765936077337191
