model_name,split,MAE,RMSE,MAPE,sMAPE,R2,MBE,underestimation_rate,overestimation_rate,peak_MAE,high_peak_MAE,peak_RMSE,high_peak_RMSE,peak_underestimation_rate,high_peak_underestimation_rate,mean_actual_peak_load_kw,mean_predicted_peak_load_kw,peak_bias,high_peak_bias,top_10_percent_actual_peak_MAE,top_5_percent_actual_peak_MAE,top_10_percent_peak_underestimation_rate,top_5_percent_peak_underestimation_rate,maximum_actual_load_kw,predicted_load_at_actual_max_kw,actual_max_underprediction_kw
AHPA_gated_ExtraTrees_Retry_plus_AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15_risk_lag168_vs_site_p90_t0.80_a0.80,validation,3.765141988162701,22.63069944328011,55013.82508504717,111.90466620773533,0.33665666622640533,-0.15733862362582873,16.130073428548375,44.35568466069555,26.21189268850111,42.421530937514554,92.69412776452353,134.06075459452398,83.74455732946299,91.9753086419753,66.51017800151733,42.71234627485994,-23.797831726657382,-41.54732812089345,20.3614557955453,29.78254430966875,67.90322580645162,77.09677419354838,1606.9177187074972,62.56461463851285,1544.3531040689843
AHPA_gated_ExtraTrees_Retry_plus_AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15_risk_lag168_vs_site_p90_t0.80_a0.80,test,4.190880521792335,9.906087629784164,43171.44294271262,113.21493492087859,0.6051206394944272,0.4695260704746256,18.90278338039532,53.11012505042356,18.89118610593241,28.002605953425473,30.021054529306557,41.21324157857975,86.07784431137725,95.74468085106383,47.31936796835107,29.64896643975714,-17.670401528593928,-27.637956997934165,18.000772757580506,24.567771005581367,73.14516129032258,83.54838709677419,233.57571077080087,6.689726928337221,226.88598384246365
AHPA_gated_ExtraTrees_Retry_plus_AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15_risk_rollq90_168_vs_site_p90_t0.90_a0.80,validation,3.7482493394351204,22.659434601453594,54377.001191900505,111.56017509974446,0.3349710464671176,-0.21681353116183114,16.18655692729767,44.08133623819898,26.429232936402293,42.642239995279134,92.8612976411856,134.2613190655265,83.01886792452831,91.0493827160494,66.51017800151733,42.56737500846114,-23.942802993056187,-41.62478771724524,20.526841168773554,30.040397108680214,67.90322580645162,75.96774193548387,1606.9177187074972,61.694756677824024,1545.2229620296732
AHPA_gated_ExtraTrees_Retry_plus_AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15_risk_rollq90_168_vs_site_p90_t0.90_a0.80,test,4.191536661706544,9.916649091158947,40292.87984455403,113.85510514337416,0.6042781825167212,0.4234417875256566,19.314239612747073,53.11012505042356,19.012727705032084,27.931333279473463,30.022369215755262,41.059777967947454,85.47904191616766,95.39007092198581,47.31936796835107,29.710125648483594,-17.60924231986748,-27.520312232403846,18.095838334626997,24.584236742004872,72.8225806451613,82.58064516129032,233.57571077080087,6.689726928337221,226.88598384246365
AHPA_switch_LGBMRegressor_to_AHPA_switch_LGBMRegressor_to_PA_CatBoost_risk_rollq90_168_vs_site_p90_t0.50_risk_enhanced_combined_t0.50,validation,4.0441815080765195,22.76114309162544,48514.80889552875,121.21358776248906,0.3289875880604045,0.5820642927733518,15.799241507302508,50.827079803114664,23.405474942759515,37.474066374901305,91.56408382208724,132.57654597945586,70.97242380261248,83.33333333333334,66.51017800151733,48.247080128967326,-18.26309787255001,-35.361895358274566,20.033596204939116,27.034907706622988,58.387096774193544,64.03225806451613,1606.9177187074972,61.823481658058846,1545.0942370494383
AHPA_switch_LGBMRegressor_to_AHPA_switch_LGBMRegressor_to_PA_CatBoost_risk_rollq90_168_vs_site_p90_t0.50_risk_enhanced_combined_t0.50,test,4.905374953540336,11.184682045669835,40023.935808272356,119.45173038224581,0.4966067485527631,1.730480099965355,18.039532069382815,57.20048406615571,16.02755406529167,23.494695663621588,27.094497980756294,37.14237076596818,72.60479041916167,85.1063829787234,47.31936796835107,35.05456751019601,-12.26480045815506,-21.522378200230378,17.785068429944946,21.395733031758542,59.67741935483871,70.64516129032258,233.57571077080087,3.473298937219176,230.1024118335817
AHPA_switch_CatBoostRegressor_to_AHPA_switch_GradientBoostingRegressor_to_BPA_GradientBoosting_risk_rollq90_168_vs_site_p90_t0.50_risk_lag24_vs_site_p90_t0.50,validation,4.121497205296674,23.03921904961595,62784.39598086584,119.9146521292219,0.31249173537792885,0.5192256549231744,17.098361978536268,48.18849350439764,24.477275461414518,37.29530928772296,92.43435908692399,133.02973815147695,71.69811320754717,80.24691358024691,66.51017800151733,49.035354153663846,-17.474823847853486,-34.05282587592021,21.05411944962303,28.073404237047168,59.596774193548384,63.2258064516129,1606.9177187074972,55.55125998191218,1551.366458725585
AHPA_switch_CatBoostRegressor_to_AHPA_switch_GradientBoostingRegressor_to_BPA_GradientBoosting_risk_rollq90_168_vs_site_p90_t0.50_risk_lag24_vs_site_p90_t0.50,test,5.3494875623978135,18.468280671716986,42444.03124104937,118.40950912849355,-0.3725021581640293,1.6605253346843343,20.09681323114159,54.23961274707544,18.803065145922336,25.97569562849025,33.06647597915171,39.366804351915356,75.74850299401199,85.1063829787234,47.31936796835107,33.54686044961003,-13.772507518741032,-23.906866855628234,20.773247262414777,24.598625784280774,64.75806451612904,74.67741935483872,233.57571077080087,2.640207899583596,230.93550287121727
AHPA_switch_ExtraTrees_Retry_to_AHPA_switch_LGBMRegressor_to_PA_CatBoost_risk_combined_simple_t0.60_risk_rollq90_24_vs_site_p90_t0.70,validation,3.9546683860868015,22.731707824062703,54294.640008892944,111.48918506016203,0.3307220052017166,0.4975308181316572,15.500685871056241,44.307270233196164,23.622782337197616,37.627489352647494,91.60209841204376,132.5938865334371,73.14949201741655,83.9506172839506,66.51017800151733,47.85976957188472,-18.650408429632606,-35.55494364953186,19.975232801500315,27.20284814839202,60.40322580645161,65.80645161290323,1606.9177187074972,61.823481658058846,1545.0942370494383
AHPA_switch_ExtraTrees_Retry_to_AHPA_switch_LGBMRegressor_to_PA_CatBoost_risk_combined_simple_t0.60_risk_rollq90_24_vs_site_p90_t0.70,test,4.5542744992371045,10.52728647299542,38901.416518288075,114.07620287667955,0.5540429988379654,1.34259297932807,17.256958450988304,54.42517144009681,16.523258445759875,23.937427031633714,27.550802542312617,37.56765580016631,73.80239520958084,85.46099290780141,47.31936796835107,34.531002204163336,-12.788365764187734,-21.8473459595076,17.791611737430134,22.063843262208913,62.33870967741936,71.7741935483871,233.57571077080087,6.689726928337221,226.88598384246365
