method_name,method_group,test_MAE,test_RMSE,test_peak_MAE,test_high_peak_MAE,test_peak_underestimation_rate,delta_MAE_vs_best_standard,delta_peak_MAE_vs_best_standard,pct_change_MAE_vs_best_standard,pct_change_peak_MAE_vs_best_standard
Linear_Regression_All_Features (best_MAE),Baseline,4.539697774021658,10.229552058162216,20.063715823615333,29.688048511937417,80.688622754491,0.18930843937431963,1.0701081920597026,4.351528675068936,5.634043899495136
Linear_Regression_All_Features (best_peak_MAE),Baseline,4.539697774021658,10.229552058162216,20.063715823615333,29.688048511937417,80.688622754491,0.18930843937431963,1.0701081920597026,4.351528675068936,5.634043899495136
LGBMRegressor (best_MAE),Standard ML,4.350389334647338,10.704025970184436,18.99360763155563,28.491233637090044,85.47904191616766,0.0,0.0,0.0,0.0
LGBMRegressor (best_peak_MAE),Standard ML,4.350389334647338,10.704025970184436,18.99360763155563,28.491233637090044,85.47904191616766,0.0,0.0,0.0,0.0
AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15 (best_MAE),Step 08C AHPA,4.210734308743049,9.965636018052834,18.920185660404265,27.690938684311146,84.13173652694611,-0.1396550259042888,-0.07342197115136528,-3.2101730480085835,-0.3865614820292664
AHPA_switch_LGBMRegressor_to_PA_CatBoost_risk_rollq90_168_vs_site_p90_t0.50 (best_peak_MAE),Step 08C AHPA,4.941614877540455,11.20796051711858,16.010348670103227,23.493998721521844,72.60479041916167,0.5912255428931168,-2.983258961452403,13.590175439804497,-15.706647306413089
AHPA_gated_ExtraTrees_Retry_plus_AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15_risk_lag168_vs_site_p90_t0.80_a0.80,E-AHPA,4.190880521792335,9.906087629784164,18.89118610593241,28.002605953425473,86.07784431137725,-0.1595088128550035,-0.10242152562322104,-3.666541097474762,-0.5392420840212567
