model_name,split,site_id,row_count,MAE,RMSE,normalized_MAE_by_site_train_mean,normalized_RMSE_by_site_train_mean,peak_MAE,high_peak_MAE,underestimation_rate,peak_underestimation_rate,high_peak_underestimation_rate,MBE,actual_max_load_kw,predicted_at_actual_max_kw,actual_max_underprediction_kw
AHPA_gated_ExtraTrees_Retry_plus_AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15_risk_lag168_vs_site_p90_t0.80_a0.80,validation,Arroyo_Garage_01,606,5.493144139591015,9.111089801000427,0.233747189464223,0.3876999364700013,9.936044006521865,11.123158077058521,25.90759075907591,62.10526315789474,80.0,1.0124151138104336,151.48691192258457,116.55315548311168,34.93375643947289
AHPA_gated_ExtraTrees_Retry_plus_AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15_risk_lag168_vs_site_p90_t0.80_a0.80,validation,California_Garage_01,3377,0.7745477921704457,2.5593323278368354,0.04031467447019621,0.13321146958364344,15.19294927531601,14.406459934789398,7.521468759253776,85.71428571428571,100.0,0.24037329309612393,76.41678347251602,46.92199775363399,29.494785718882028
AHPA_gated_ExtraTrees_Retry_plus_AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15_risk_lag168_vs_site_p90_t0.80_a0.80,validation,California_Garage_02,2657,3.9289938626251546,6.589045984156939,0.25049995498961086,0.420096284231142,23.689845865300008,31.29888440776954,24.72713586751976,96.29629629629629,100.0,0.14371513986462633,82.98885018964796,50.72110872649633,32.26774146315163
AHPA_gated_ExtraTrees_Retry_plus_AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15_risk_lag168_vs_site_p90_t0.80_a0.80,validation,N_Wilson_Garage_01,1322,20.732637897805137,68.20286279998672,1.7496244168813753,5.755630067156096,39.358330320957975,57.36289036484282,35.854765506807865,86.0,94.17040358744396,-3.5786181252118077,1606.9177187074972,62.56461463851285,1544.3531040689843
AHPA_gated_ExtraTrees_Retry_plus_AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15_risk_lag168_vs_site_p90_t0.80_a0.80,validation,Parking_Lot_01,2223,0.288528300936626,0.8419022219551316,0.12915850576346918,0.3768740627303434,2.4569586927917393,,4.903283850652271,87.5,,0.17379016661099805,12.575091789876833,10.39961279526163,2.1754789946152027
AHPA_gated_ExtraTrees_Retry_plus_AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15_risk_lag168_vs_site_p90_t0.80_a0.80,validation,S_Wilson_Garage_01,2208,1.0088899500330875,1.9324683964535734,0.3815472434279687,0.7308309391468777,3.5770822986819177,5.0940436282217885,15.760869565217392,89.14728682170544,95.0,0.2661162872209334,21.08775397980203,12.753612415696036,8.334141564105995
AHPA_gated_ExtraTrees_Retry_plus_AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15_risk_lag168_vs_site_p90_t0.80_a0.80,test,Arroyo_Garage_01,606,4.933950483090628,8.630243036372157,0.20995208373759272,0.3672386893338227,12.508496767343765,15.3678786753071,21.287128712871286,76.74418604651163,86.66666666666667,1.092866799338694,128.44555031546562,86.15686936979813,42.288680945667494
AHPA_gated_ExtraTrees_Retry_plus_AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15_risk_lag168_vs_site_p90_t0.80_a0.80,test,California_Garage_01,3377,2.6199026309657802,7.92163889056417,0.13636411178066254,0.41231580074436947,76.49245875002315,109.07665571702258,10.749185667752444,100.0,100.0,0.385087932713315,233.57571077080087,6.689726928337221,226.88598384246365
AHPA_gated_ExtraTrees_Retry_plus_AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15_risk_lag168_vs_site_p90_t0.80_a0.80,test,California_Garage_02,2657,7.685795449285236,13.501903624982203,0.4900214867780235,0.8608377535291627,33.747939161518964,47.969474303175325,31.990967256304103,96.32352941176471,100.0,0.3773259422492607,206.32919292080408,31.773438833805635,174.55575408699843
AHPA_gated_ExtraTrees_Retry_plus_AHPA_gated_HistGB_Retry_plus_BPA_CatBoost_risk_lag168_vs_site_p90_t1.00_a0.15_risk_lag168_vs_site_p90_t0.80_a0.80,test,N_Wilson_Garage_01,1323,12.363293849498662,18.72863780869553,1.043336641424301,1.5805071292201749,26.138602187148045,35.79518071114814,30.158730158730158,90.3765690376569,96.61016949152543,1.4283429689300837,175.316543045655,12.706514863163896,162.6100281824911
