site_id,hour,mean_load_kw,median_load_kw,sample_count
Arroyo_Garage_01,0,11.764764976460196,6.20628310502283,169
Arroyo_Garage_01,1,5.833301137270602,0.0011872791519434,169
Arroyo_Garage_01,2,2.6046419624480075,0.0,169
Arroyo_Garage_01,3,1.2413503017430623,0.0,169
Arroyo_Garage_01,4,0.7943490266553533,0.0,169
Arroyo_Garage_01,5,1.4286946787983752,0.0,169
Arroyo_Garage_01,6,1.3051981650657336,0.0,168
Arroyo_Garage_01,7,1.0650642447710506,0.0,168
Arroyo_Garage_01,8,0.5636483381952441,0.0,168
Arroyo_Garage_01,9,0.255250634744327,0.0,168
Arroyo_Garage_01,10,0.23132885354583807,0.0,168
Arroyo_Garage_01,11,0.3376414909715442,0.0,168
Arroyo_Garage_01,12,6.833824997469786,0.0,168
Arroyo_Garage_01,13,33.57237108301582,25.246920166636,168
Arroyo_Garage_01,14,50.31708217260672,54.05375074587846,168
Arroyo_Garage_01,15,60.117831616252055,73.44172576424415,168
Arroyo_Garage_01,16,64.77792402541088,79.96114656574322,168
Arroyo_Garage_01,17,62.720568777902145,72.58914846156036,168
Arroyo_Garage_01,18,59.98330779662216,65.71497649314094,168
Arroyo_Garage_01,19,55.69417671892432,60.22392150457635,168
Arroyo_Garage_01,20,50.447277479432714,50.72553348039411,168
Arroyo_Garage_01,21,41.04270205247633,42.23061509289609,168
Arroyo_Garage_01,22,30.725414131275247,25.73059258412326,168
Arroyo_Garage_01,23,20.01148975097969,13.38428397310171,168
California_Garage_01,0,14.945068353917407,9.12625092971145,938
California_Garage_01,1,15.528938615012075,8.259862587709435,938
California_Garage_01,2,15.417191065624083,7.556705109324415,938
California_Garage_01,3,14.482465182424953,6.9137058141935235,938
California_Garage_01,4,12.048781814761046,6.66617203682238,938
California_Garage_01,5,8.611503719721005,4.566913525497126,938
California_Garage_01,6,5.80404859610022,2.6297484206985398,938
California_Garage_01,7,3.9815680405603686,0.0,938
California_Garage_01,8,2.962707942581018,0.0,938
California_Garage_01,9,2.1734491076587372,0.0,938
California_Garage_01,10,1.5082312512561598,0.0,938
California_Garage_01,11,1.4587262985246305,0.0,938
California_Garage_01,12,1.6044779315149553,0.0,938
California_Garage_01,13,4.137081482947512,0.0,938
California_Garage_01,14,10.091536459130875,0.055082811333815,938
California_Garage_01,15,22.920360962553577,6.847137847981736,938
California_Garage_01,16,32.52194235823458,22.80235554550144,938
California_Garage_01,17,35.30444349071994,32.56777963160178,938
California_Garage_01,18,32.08347291619082,31.466891703094234,938
California_Garage_01,19,27.053585576132782,24.47212993924941,938
California_Garage_01,20,23.631489100559207,22.520637916566642,938
California_Garage_01,21,19.788523782694984,16.328071788918585,938
California_Garage_01,22,17.032685299874093,13.167079553916015,938
California_Garage_01,23,15.945477869063863,10.841758853188107,938
California_Garage_02,0,16.978152592206303,12.006307356321223,738
California_Garage_02,1,19.332463905185836,13.670634956828255,739
California_Garage_02,2,20.289684368745842,14.168063934653507,738
California_Garage_02,3,17.600953751819507,10.945158614023274,738
California_Garage_02,4,13.889904735425944,10.445740875337007,738
California_Garage_02,5,10.384372672715187,7.009426005099067,738
California_Garage_02,6,7.274844085873938,3.3455740704931527,738
California_Garage_02,7,4.533675727521795,0.0,738
California_Garage_02,8,2.598432146674444,0.0,738
California_Garage_02,9,2.077440103818634,0.0,738
California_Garage_02,10,1.8840590670017943,0.0,738
California_Garage_02,11,2.358737887652825,0.0,738
California_Garage_02,12,3.1730971655255558,0.0,738
California_Garage_02,13,3.12823249656933,0.0,738
California_Garage_02,14,8.982622864388757,0.3311586058350984,738
California_Garage_02,15,24.020689035934627,11.618041650357606,738
California_Garage_02,16,31.776296890190032,22.651138765657635,738
California_Garage_02,17,29.209600957892157,26.031278983263064,738
California_Garage_02,18,23.455042955209546,19.64381220714121,738
California_Garage_02,19,20.170135248324893,16.280209845811036,738
California_Garage_02,20,18.385904138719276,14.523963784036953,738
California_Garage_02,21,16.362586891427533,11.651299318918614,738
California_Garage_02,22,14.994360820465625,10.48540962376293,738
California_Garage_02,23,14.309804528677589,9.878664642318494,738
N_Wilson_Garage_01,0,25.551642117731145,7.531398638155587,368
N_Wilson_Garage_01,1,22.439557938802185,6.543373141354767,368
N_Wilson_Garage_01,2,22.898661016636243,9.583647014596458,368
N_Wilson_Garage_01,3,23.696669513781544,6.292456692913386,367
N_Wilson_Garage_01,4,19.804263565547004,6.476538461538461,367
N_Wilson_Garage_01,5,16.552251953286394,3.2626237623762377,367
N_Wilson_Garage_01,6,14.165185322854581,0.2729549157303371,367
N_Wilson_Garage_01,7,8.21923225080822,0.0200339539978094,367
N_Wilson_Garage_01,8,4.358863746273715,0.0,367
N_Wilson_Garage_01,9,2.6276024697663733,0.0,367
N_Wilson_Garage_01,10,1.8735471896309552,0.0,367
N_Wilson_Garage_01,11,1.4307138872162068,0.0,367
N_Wilson_Garage_01,12,4.8695834046826,0.0,367
N_Wilson_Garage_01,13,4.048289995858496,1.057889624724062,367
N_Wilson_Garage_01,14,7.454059469127857,3.1566856435643564,367
N_Wilson_Garage_01,15,11.427912282176575,3.377178336980306,367
N_Wilson_Garage_01,16,16.25197759217875,6.756136761487965,367
N_Wilson_Garage_01,17,21.931098003970437,12.55320405889062,367
N_Wilson_Garage_01,18,24.018839892660143,13.137810482579258,367
N_Wilson_Garage_01,19,26.94576058773906,13.307973254720807,368
N_Wilson_Garage_01,20,21.01500441995931,12.094045652272907,368
N_Wilson_Garage_01,21,24.397395684517,9.172642016738038,368
N_Wilson_Garage_01,22,21.11753948866457,6.528727695554698,368
N_Wilson_Garage_01,23,26.4573087311224,9.054703890547273,368
Parking_Lot_01,0,1.1896897678881466,0.0,618
Parking_Lot_01,1,0.9595426764578838,0.0,617
Parking_Lot_01,2,0.6835273353782295,0.0,617
Parking_Lot_01,3,0.48084873567848224,0.0,617
Parking_Lot_01,4,0.7805061630499837,0.0,617
