site_id,day_of_week,day_name,mean_load_kw,median_load_kw,sample_count
Arroyo_Garage_01,0,Monday,33.57057193188704,0.0,576
Arroyo_Garage_01,1,Tuesday,33.16957823501162,12.779065878462994,576
Arroyo_Garage_01,2,Wednesday,34.472020401304924,12.849469844697042,576
Arroyo_Garage_01,3,Thursday,34.30016222632879,7.850865720068535,582
Arroyo_Garage_01,4,Friday,23.972570519214642,6.589166097912543,576
Arroyo_Garage_01,5,Saturday,2.9580854485489128,0.0,576
Arroyo_Garage_01,6,Sunday,1.6443245538770754,0.0,576
California_Garage_01,0,Monday,16.156624261744575,4.855149135203091,3216
California_Garage_01,1,Tuesday,16.380376080363845,5.697966399950324,3216
California_Garage_01,2,Wednesday,16.541018308240538,5.157554503021422,3216
California_Garage_01,3,Thursday,15.901967976736804,4.937895254147413,3216
California_Garage_01,4,Friday,16.44682582007229,5.814444975717816,3216
California_Garage_01,5,Saturday,9.682543410795278,3.4830702926816057,3216
California_Garage_01,6,Sunday,8.359989997226348,3.396781756551184,3216
California_Garage_02,0,Monday,14.946260083510452,6.472696685714285,2543
California_Garage_02,1,Tuesday,12.771097400045967,5.499574218213445,2544
California_Garage_02,2,Wednesday,12.636580633180957,5.941665463919539,2544
California_Garage_02,3,Thursday,12.602578651710374,5.9902977298887405,2522
California_Garage_02,4,Friday,15.366032085881503,7.339946102221155,2520
California_Garage_02,5,Saturday,12.701961521699785,6.3972116075129,2520
California_Garage_02,6,Sunday,14.409159143773824,7.8648435656550895,2520
N_Wilson_Garage_01,0,Monday,17.28595202680039,5.260908699078489,1248
N_Wilson_Garage_01,1,Tuesday,14.820501581075174,3.5465323110624314,1253
N_Wilson_Garage_01,2,Wednesday,13.524688408248762,3.363000265162012,1272
N_Wilson_Garage_01,3,Thursday,14.717590357327776,3.285875034209086,1272
N_Wilson_Garage_01,4,Friday,14.027344993649683,3.3764164619164623,1272
N_Wilson_Garage_01,5,Saturday,17.187882628971526,1.3805526229508196,1251
N_Wilson_Garage_01,6,Sunday,17.52628219674995,3.295664511650458,1248
Parking_Lot_01,0,Monday,2.5414069824982763,0.0,2120
Parking_Lot_01,1,Tuesday,2.1366629769333714,0.0,2136
Parking_Lot_01,2,Wednesday,2.131782664803873,0.0,2113
Parking_Lot_01,3,Thursday,2.3694806664903103,0.0,2112
Parking_Lot_01,4,Friday,2.7533589549389377,0.0,2112
Parking_Lot_01,5,Saturday,0.31350500702366235,0.0,2112
Parking_Lot_01,6,Sunday,0.010648720311377103,0.0,2112
S_Wilson_Garage_01,0,Monday,3.0281957218368634,0.0,2112
S_Wilson_Garage_01,1,Tuesday,3.1084568762721796,0.0,2112
S_Wilson_Garage_01,2,Wednesday,2.750146657562886,0.0,2112
S_Wilson_Garage_01,3,Thursday,2.8692513900767755,0.0,2088
S_Wilson_Garage_01,4,Friday,2.740355452744302,0.0,2088
S_Wilson_Garage_01,5,Saturday,2.137793163918019,0.0,2098
S_Wilson_Garage_01,6,Sunday,1.8274749220678872,0.0,2112
