timestamp,site_id,actual_load_kw,main_point_forecast_kw,peak_sensitive_point_forecast_kw,upper_forecast_kw,is_peak_hour,is_high_peak_hour,strategy,site_capacity_kw,scheduled_load_kw,capacity_violation_kw
2020-07-15 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,113.95471404553889,1.7362889060907207
2020-07-22 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,132.65615091733753,20.437725777889355
2020-07-22 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,122.69643296028089,10.478007820832715
2020-07-23 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,147.0911279757842,34.87270283633602
2020-07-24 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,135.24606240956552,23.027637270117353
2020-07-24 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,146.65480044400186,34.43637530455369
2020-07-27 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,131.4065435549578,19.188118415509635
2020-07-28 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,130.02174680498896,17.803321665540793
2020-07-28 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,130.80923060369165,18.590805464243473
2020-07-29 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,128.77744929352713,16.559024154078955
2020-07-29 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,134.48026529860832,22.261840159160144
2020-07-30 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,145.25229799079975,33.033872851351575
2020-07-31 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,120.98264544756617,8.764220308117999
2020-07-31 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,114.21039241062809,1.9919672711799166
2020-08-03 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,130.65173657478115,18.433311435332982
2020-08-03 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,130.92681119235996,18.70838605291179
2020-08-05 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,134.65895106444756,22.440525924999392
2020-08-05 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,112.62197734726153,0.40355220781336243
2020-08-06 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,137.4783115811817,25.259886441733542
2020-08-06 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,134.2671098333856,22.04868469393743
2020-08-07 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,114.26911389167337,2.0506887522251986
2020-08-07 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,128.9700920466759,16.751666907227715
2020-08-10 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,125.33066666666666,13.112241527218487
2020-08-10 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,123.97961014994233,11.76118501049416
2020-08-11 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,119.22452161100196,7.006096471553789
2020-08-11 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,154.8774932015078,42.65906806205963
2020-08-12 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,146.42034625740442,34.201921117956246
2020-08-12 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,123.65416666666667,11.435741527218497
2020-08-13 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,130.18606581902992,17.96764067958175
2020-08-13 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,136.8827374592004,24.664312319752227
2020-08-14 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,145.25668944844125,33.03826430899308
2020-08-14 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,160.93566099051475,48.717235851066576
2020-08-18 13:00:00+00:00,California_Garage_01,0.0,0.6712489938365588,0.6712489938365588,2.0226626746505225,0,0,uncontrolled,112.21842513944817,156.81693843830826,44.598513298860084
2020-08-18 14:00:00+00:00,California_Garage_01,0.0,0.0496043109289832,0.0496043109289832,1.401017991742947,0,0,uncontrolled,112.21842513944817,146.91931266400297,34.7008875245548
2020-08-18 15:00:00+00:00,California_Garage_01,3.2855849056603774,5.902199835789199,5.902199835789199,7.2536135166031634,0,0,uncontrolled,112.21842513944817,132.89624523737527,20.677820097927096
2020-08-19 14:00:00+00:00,California_Garage_01,3.359394025604552,6.029162500123973,6.029162500123973,7.380576180937936,0,0,uncontrolled,112.21842513944817,150.82951845769654,38.611093318248365
2020-08-20 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,119.19124073571112,6.972815596262947
2020-08-20 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,145.09366581838157,32.875240678933395
2020-08-21 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,121.56916666666666,9.350741527218489
2020-08-21 14:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,116.85029246318814,4.631867323739968
2020-08-21 15:00:00+00:00,California_Garage_01,3.3309377593361,5.757273508760158,5.757273508760158,7.1086871895741215,0,0,uncontrolled,112.21842513944817,119.70016477249087,7.481739633042693
2020-08-24 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,116.39676242161119,4.178337282163014
2020-08-25 13:00:00+00:00,California_Garage_01,0.7259342105263158,4.197305698630038,4.197305698630038,5.548719379444002,0,0,uncontrolled,112.21842513944817,159.40496498735925,47.18653984791108
2020-08-25 14:00:00+00:00,California_Garage_01,0.0,0.3830848352074468,0.3830848352074468,1.7344985160214106,0,0,uncontrolled,112.21842513944817,182.64176059746922,70.42333545802104
2020-08-25 15:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,114.44791154138193,2.2294864019337552
2020-08-26 13:00:00+00:00,California_Garage_01,0.0,0.0,0.0,1.3514136808139638,0,0,uncontrolled,112.21842513944817,132.63710039489746,20.418675255449287
