strategy,session_id,site_id,original_site_id,arrival_time,departure_time,energy_requested_kwh,energy_delivered_kwh,unserved_energy_kwh,fully_served,max_charging_power_kw,first_charge_hour,last_charge_hour,average_delay_hours,scenario_mode
uncontrolled,2_39_124_22_2018-05-07 01:29:10.068137,California_Garage_01,2,2020-07-26 23:29:10+00:00,2020-07-27 00:48:15+00:00,8.849,8.699166666666667,0.14983333333333348,False,6.6,2020-07-26 23:00:00+00:00,2020-07-27 00:00:00+00:00,0.12400480037466341,calendar_aligned_forecast_horizon
uncontrolled,2_39_79_376_2018-05-07 02:08:38.595809,California_Garage_01,2,2020-07-27 00:08:39+00:00,2020-07-27 02:29:14+00:00,16.038,15.464166666666667,0.573833333333333,False,6.6,2020-07-27 00:00:00+00:00,2020-07-27 02:00:00+00:00,0.6985126457221893,calendar_aligned_forecast_horizon
uncontrolled,2_39_88_24_2018-05-07 20:47:51.748001,California_Garage_01,2,2020-07-27 18:47:52+00:00,2020-07-27 18:54:03+00:00,2.42,0.6801666666666666,1.7398333333333333,False,6.6,2020-07-27 18:00:00+00:00,2020-07-27 18:00:00+00:00,-0.7977777777777779,calendar_aligned_forecast_horizon
uncontrolled,2_39_78_360_2018-05-08 01:44:55.169977,California_Garage_01,2,2020-07-27 23:44:55+00:00,2020-07-28 01:31:21+00:00,11.965,11.707666666666665,0.2573333333333352,False,6.6,2020-07-27 23:00:00+00:00,2020-07-28 01:00:00+00:00,0.4042232139750149,calendar_aligned_forecast_horizon
uncontrolled,2_39_127_19_2018-05-08 01:46:42.477648,California_Garage_01,2,2020-07-27 23:46:42+00:00,2020-07-28 01:44:44+00:00,13.217,12.983666666666664,0.23333333333333606,False,6.6,2020-07-27 23:00:00+00:00,2020-07-28 01:00:00+00:00,0.4879756189400358,calendar_aligned_forecast_horizon
uncontrolled,2_39_125_21_2018-05-08 03:25:28.304874,California_Garage_01,2,2020-07-28 01:25:28+00:00,2020-07-28 03:21:04+00:00,12.924,12.716000000000001,0.2079999999999984,False,6.6,2020-07-28 01:00:00+00:00,2020-07-28 03:00:00+00:00,0.45906189926951163,calendar_aligned_forecast_horizon
uncontrolled,2_39_92_436_2018-05-08 05:19:35.281335,California_Garage_01,2,2020-07-28 03:19:35+00:00,2020-07-28 04:31:30+00:00,8.163,7.910833333333334,0.25216666666666665,False,6.6,2020-07-28 03:00:00+00:00,2020-07-28 04:00:00+00:00,0.11161806360242046,calendar_aligned_forecast_horizon
uncontrolled,2_39_138_29_2018-05-09 03:14:17.346791,California_Garage_01,2,2020-07-29 01:14:17+00:00,2020-07-29 02:34:13+00:00,9.014,8.792666666666666,0.22133333333333383,False,6.6,2020-07-29 01:00:00+00:00,2020-07-29 02:00:00+00:00,0.19000949865628763,calendar_aligned_forecast_horizon
uncontrolled,2_39_131_30_2018-05-09 12:18:17.418387,California_Garage_01,2,2020-07-29 10:18:17+00:00,2020-07-29 10:45:25+00:00,3.075,2.9846666666666666,0.0903333333333336,False,6.6,2020-07-29 10:00:00+00:00,2020-07-29 10:00:00+00:00,-0.3047222222222222,calendar_aligned_forecast_horizon
uncontrolled,2_39_88_438_2018-05-11 00:28:32.753451,California_Garage_01,2,2020-07-30 22:28:33+00:00,2020-07-30 23:25:14+00:00,6.386,6.235166666666666,0.15083333333333382,False,6.6,2020-07-30 22:00:00+00:00,2020-07-30 23:00:00+00:00,-0.03067014603547976,calendar_aligned_forecast_horizon
uncontrolled,2_39_138_29_2018-05-11 03:24:32.727246,California_Garage_01,2,2020-07-31 01:24:33+00:00,2020-07-31 02:40:01+00:00,8.468,8.301333333333332,0.16666666666666785,False,6.6,2020-07-31 01:00:00+00:00,2020-07-31 02:00:00+00:00,0.12108951707891635,calendar_aligned_forecast_horizon
uncontrolled,2_39_138_29_2018-05-12 02:28:00.164543,California_Garage_01,2,2020-08-01 00:28:00+00:00,2020-08-01 02:23:56+00:00,12.954,12.752666666666666,0.20133333333333425,False,6.6,2020-08-01 00:00:00+00:00,2020-08-01 02:00:00+00:00,0.46375311481694464,calendar_aligned_forecast_horizon
uncontrolled,2_39_95_27_2018-05-13 16:14:10.861961,California_Garage_01,2,2020-08-02 14:14:11+00:00,2020-08-02 18:26:55+00:00,29.166,27.800666666666665,1.3653333333333357,False,6.6,2020-08-02 14:00:00+00:00,2020-08-02 18:00:00+00:00,1.6140463524722295,calendar_aligned_forecast_horizon
uncontrolled,2_39_78_366_2018-05-13 21:15:04.108232,California_Garage_01,2,2020-08-02 19:15:04+00:00,2020-08-02 20:48:17+00:00,10.453,10.253833333333333,0.19916666666666671,False,6.6,2020-08-02 19:00:00+00:00,2020-08-02 20:00:00+00:00,0.26685777857242193,calendar_aligned_forecast_horizon
uncontrolled,2_39_139_28_2018-05-13 22:04:57.684033,California_Garage_01,2,2020-08-02 20:04:58+00:00,2020-08-02 21:33:53+00:00,10.065,9.780833333333334,0.2841666666666658,False,6.6,2020-08-02 20:00:00+00:00,2020-08-02 21:00:00+00:00,0.2982906383421848,calendar_aligned_forecast_horizon
uncontrolled,2_39_124_22_2018-05-14 00:03:19.946400,California_Garage_01,2,2020-08-02 22:03:20+00:00,2020-08-02 22:44:23+00:00,4.689,4.5155,0.17349999999999977,False,6.6,2020-08-02 22:00:00+00:00,2020-08-02 22:00:00+00:00,-0.055555555555555546,calendar_aligned_forecast_horizon
uncontrolled,2_39_138_29_2018-05-14 02:48:54.222890,California_Garage_01,2,2020-08-03 00:48:54+00:00,2020-08-03 02:17:18+00:00,9.94,9.724,0.2159999999999993,False,6.6,2020-08-03 00:00:00+00:00,2020-08-03 02:00:00+00:00,0.2551357466063348,calendar_aligned_forecast_horizon
uncontrolled,2_39_123_23_2018-05-15 02:43:19.308145,California_Garage_01,2,2020-08-04 00:43:19+00:00,2020-08-04 02:44:06+00:00,13.38,13.286166666666666,0.09383333333333432,False,6.6,2020-08-04 00:00:00+00:00,2020-08-04 02:00:00+00:00,0.5050460343743771,calendar_aligned_forecast_horizon
uncontrolled,2_39_130_31_2018-05-16 03:25:13.589741,California_Garage_01,2,2020-08-05 01:25:14+00:00,2020-08-05 02:33:52+00:00,7.611,7.549666666666666,0.061333333333333684,False,6.6,2020-08-05 01:00:00+00:00,2020-08-05 02:00:00+00:00,0.07288786357994707,calendar_aligned_forecast_horizon
uncontrolled,2_39_91_441_2018-05-16 05:29:03.763849,California_Garage_01,2,2020-08-05 03:29:04+00:00,2020-08-05 03:55:59+00:00,3.057,2.9608333333333334,0.09616666666666651,False,6.6,2020-08-05 03:00:00+00:00,2020-08-05 03:00:00+00:00,-0.48444444444444446,calendar_aligned_forecast_horizon
uncontrolled,2_39_78_365_2018-05-16 04:04:20.440686,California_Garage_01,2,2020-08-05 02:04:20+00:00,2020-08-05 04:57:57+00:00,19.775,19.097833333333334,0.6771666666666647,False,6.6,2020-08-05 02:00:00+00:00,2020-08-05 04:00:00+00:00,0.9409293569272448,calendar_aligned_forecast_horizon
uncontrolled,2_39_130_31_2018-05-16 12:54:55.438634,California_Garage_01,2,2020-08-05 10:54:55+00:00,2020-08-05 11:24:45+00:00,3.385,3.2816666666666663,0.1033333333333335,False,6.6,2020-08-05 10:00:00+00:00,2020-08-05 11:00:00+00:00,-0.08566883923029177,calendar_aligned_forecast_horizon
uncontrolled,2_39_88_24_2018-05-24 02:34:10.827771,California_Garage_01,2,2020-08-13 00:34:11+00:00,2020-08-13 02:08:30+00:00,10.746,10.374833333333333,0.3711666666666673,False,6.6,2020-08-13 00:00:00+00:00,2020-08-13 02:00:00+00:00,0.246676434784316,calendar_aligned_forecast_horizon
uncontrolled,2_39_127_19_2018-05-25 03:13:57.956808,California_Garage_01,2,2020-08-14 01:13:58+00:00,2020-08-14 02:34:10+00:00,8.872,8.822,0.05000000000000071,True,6.6,2020-08-14 01:00:00+00:00,2020-08-14 02:00:00+00:00,0.1932405098365198,calendar_aligned_forecast_horizon
